index,s,t,p,e,c
1,810,810,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
2,7143,7143,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
3,10067,10067,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
4,9693,9693,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
5,5998,5998,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
6,11557,11557,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
7,475,475,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
8,6033,6033,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
9,3419,3419,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
10,4491,4491,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
11,2335,2335,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
12,9846,9846,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
13,3843,3843,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
14,9692,9692,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
15,5128,5128,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
16,5654,5654,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
17,8532,8532,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
18,8167,8167,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
19,4121,4121,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
20,2868,2868,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
21,9785,9785,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
22,5387,5387,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
23,5358,5358,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
24,2468,2468,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
25,388,388,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
26,4213,4213,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
27,9873,9873,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
28,10575,10575,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
29,12149,12149,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
30,1781,1781,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
31,3800,3800,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
32,10985,10985,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
33,2051,2051,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
34,6130,6130,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
35,11800,11800,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
36,6321,6321,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
37,812,812,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
38,3285,3285,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
39,8670,8670,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
40,12236,12236,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
41,1082,1082,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
42,10666,10666,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
43,7514,7514,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
44,4085,4085,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
45,6941,6941,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
46,8103,8103,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
47,4536,4536,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
48,9202,9202,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
49,2753,2753,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
50,10780,10780,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
51,1983,1983,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
52,9525,9525,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
53,10930,10930,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
54,9562,9562,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
55,5291,5291,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
56,6897,6897,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
57,7649,7649,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
58,2340,2340,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
59,8054,8054,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
60,8661,8661,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
61,2396,2396,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
62,8217,8217,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
63,118,118,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
64,8167,8167,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
65,7470,7470,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
66,118,118,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
67,10197,10197,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
68,2360,2360,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
69,5797,5797,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
70,6094,6094,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
71,5999,5999,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
72,5412,5412,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
73,681,681,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
74,3390,3390,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
75,8835,8835,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
76,3238,3238,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
77,2720,2720,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
78,6243,6243,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
79,3571,3571,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
80,2374,2374,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
81,10757,10757,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
82,1424,1424,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
83,4465,4465,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
84,855,855,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
85,4748,4748,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
86,633,633,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
87,2344,2344,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
88,4819,4819,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
89,3637,3637,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
90,6774,6774,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
91,3048,3048,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
92,7761,7761,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
93,5508,5508,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
94,2118,2118,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
95,4964,4964,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
96,6895,6895,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
97,6451,6451,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
98,7242,7242,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
99,9137,9137,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
100,5932,5932,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
