index,s,t,et
1,171769,34992,0
2,139762,134991,0
3,118183,33296,0
4,299695,231600,0
5,224881,137056,0
6,246050,16052,0
7,11863,321640,0
8,244580,55966,0
9,283794,144659,0
10,53002,17930,0
11,226720,110613,0
12,91838,56649,0
13,278708,98502,0
14,116015,187671,0
15,156756,157892,0
16,214400,181951,0
17,64896,220239,0
18,206057,95163,0
19,102033,78154,0
20,266401,146740,0
21,185459,92729,0
22,32306,27428,0
23,98601,56619,0
24,143505,136211,0
25,50736,8435,0
26,131820,225566,0
27,326322,263249,0
28,279731,101627,0
29,127283,183775,0
30,108984,71088,0
31,9030,13449,0
32,130576,333494,0
33,20786,154267,0
34,267058,325209,0
35,247249,90503,0
36,227459,72411,0
37,19723,44570,0
38,95354,147312,0
39,145886,163976,0
40,134681,245704,0
41,42766,33821,0
42,200022,337431,0
43,257073,200833,0
44,56598,221205,0
45,31504,85291,0
46,88715,146784,0
47,43411,326049,0
48,139835,332534,0
49,276125,201078,0
50,164164,132845,0
51,108981,128917,0
52,316197,211937,0
53,28622,289429,0
54,287949,278913,0
55,287944,200833,0
56,279343,94230,0
57,200984,107377,0
58,187067,113235,0
59,254657,21047,0
60,192419,340702,0
61,254910,228804,0
62,303181,263253,0
63,282342,315923,0
64,185271,162861,0
65,324621,124821,0
66,44265,32775,0
67,102035,179328,0
68,56499,28328,0
69,255524,168307,0
70,6035,76852,1
71,336427,176799,1
72,137410,253754,1
73,187202,132482,1
74,136329,245125,1
75,276871,236056,1
76,157477,234968,1
77,344741,204263,1
78,110719,281936,1
79,275460,157632,1
80,95903,261693,1
81,158732,172991,1
82,117607,243094,1
83,49238,179742,1
84,304212,12089,1
85,73549,192057,1
86,115596,94708,1
87,274996,79384,1
88,283854,137848,1
89,82199,38567,1
90,209025,196868,1
91,221428,88029,1
92,39509,268107,1
93,51215,156756,1
94,35984,93917,1
95,53293,71254,1
96,68238,277040,1
97,3694,122579,1
98,334441,254986,1
99,200192,288333,1
100,254571,182215,1
101,60123,23155,2
102,177020,3364,2
103,191972,89834,2
104,176364,260422,2
105,30471,269584,2
106,39682,200816,2
107,108982,119615,2
108,327236,256639,2
109,36500,9370,2
110,273671,239096,2
111,251512,324377,2
112,49900,218740,2
113,43779,152505,2
114,62119,8864,2
115,311625,192787,2
116,338357,289371,2
117,53032,234834,2
118,180669,325005,2
119,7271,303273,2
120,33321,270304,2
121,307936,213249,2
122,145294,287137,2
123,279159,168848,2
124,21864,168459,2
125,194675,60768,2
126,201598,227196,2
127,21258,228859,2
128,138638,43155,2
129,64896,38990,2
130,126270,116151,2
131,31957,180725,2
132,248029,138116,2
133,9275,297430,2
134,215700,234697,2
135,228615,157760,2
136,21311,21588,3
137,148611,321503,3
138,107859,51041,3
139,285791,64238,3
140,259528,158369,3
141,161602,70796,3
142,86488,12570,3
143,319120,1198,3
144,119346,341577,3
145,268859,175356,3
146,146703,27248,3
147,105083,109292,3
148,235557,26702,3
149,311935,292922,3
150,123381,139490,3
151,66777,321046,3
152,168742,108286,3
153,290799,158847,3
154,178739,274339,3
155,9575,120427,3
156,43477,259256,3
157,323793,11541,3
158,295260,201303,3
159,16616,11069,3
160,162977,165327,3
161,336363,319451,3
162,198811,40500,3
163,139249,208248,3
164,187613,308866,3
165,358,56438,3
166,192709,56880,3
167,129888,263895,4
168,19220,116290,4
169,29040,139392,4
170,89635,198316,4
171,57928,296905,4
172,27584,333286,4
173,173303,337726,4
174,281652,177513,4
175,268332,267802,4
176,41582,229675,4
177,9030,289982,4
178,258292,78248,4
179,57832,46967,4
180,180526,162376,4
181,341486,47593,4
182,138415,170080,4
183,67489,82402,4
184,74397,137174,4
185,178604,91781,4
186,14343,123472,4
187,51497,229495,4
188,31925,115757,4
189,342309,335808,4
190,153269,291156,4
191,258544,260122,4
192,160550,214996,4
193,245184,204860,4
194,197462,170214,4
195,322871,211197,4
196,44877,247655,4
197,66398,213883,4
198,283641,205472,4
199,141957,216180,4
200,185270,123002,4
201,199259,200192,4
202,334274,302663,4
203,204807,171768,5
204,8071,203733,5
205,127140,26691,5
206,304293,87216,5
207,143576,101027,5
208,324716,192419,5
209,94875,7072,5
210,194692,314115,5
211,272336,112104,5
212,236328,11926,5
213,106987,132985,5
214,223492,64896,5
215,50053,348562,5
216,211380,60548,5
217,217851,297539,5
218,228289,94432,5
219,52935,83952,5
220,207070,109510,5
221,172749,65793,5
222,163818,59071,5
223,212689,117157,5
224,66304,103696,5
225,229395,228739,5
226,263570,204134,5
227,105327,232978,5
228,184027,117112,5
229,161661,250547,5
230,30426,153610,5
231,347218,110856,5
232,8977,287420,5
233,207848,345709,5
234,201934,22528,5
235,146186,129648,6
236,38097,211407,6
237,168290,109768,6
238,282632,126680,6
239,24488,292904,6
240,291072,30891,6
241,241591,124418,6
242,107058,305348,6
243,326322,236140,6
244,157839,5342,6
245,60688,220154,6
246,150443,197562,6
247,272207,76116,6
248,236465,300206,6
249,346174,60039,6
250,270152,154849,6
251,74433,87691,6
252,122453,198127,6
253,173870,70124,6
254,297343,281470,6
255,250639,158507,6
256,323440,239096,6
257,96495,93805,6
258,253572,347862,6
259,95359,241511,6
260,90969,103305,6
261,40629,50800,6
262,19349,119271,6
263,232102,143657,6
264,67498,98955,6
265,270901,340722,6
266,297484,315088,6
267,47643,48770,6
268,255683,6145,6
269,301496,257373,6
270,191675,228698,7
271,171514,203842,7
272,35102,232725,7
273,71885,171912,7
274,176203,343146,7
275,30197,229173,7
276,18954,255191,7
277,83436,88849,7
278,320542,28118,7
279,76252,108981,7
280,82837,72441,7
281,327925,70286,7
282,200908,53352,7
283,242444,238701,7
284,146949,50222,7
285,188808,6220,7
286,89065,62936,7
287,7773,270697,7
288,133371,295767,7
289,37387,57594,7
290,226803,294794,7
291,77145,50160,7
292,289037,117112,7
293,259311,48765,7
294,108485,268680,7
295,67323,253399,7
296,291060,210343,7
297,9030,13449,7
298,197479,177195,7
299,275453,135895,7
300,151268,277853,7
301,114882,186272,7
302,259185,340418,7
303,128389,258209,7
304,4622,237968,7
305,122960,282804,7
306,106987,255606,7
307,114696,42976,7
308,147293,144258,7
309,278229,87174,8
310,15806,240100,8
311,284768,18458,8
312,288194,69100,8
313,346911,225809,8
314,111754,348480,8
315,269472,20093,8
316,285701,98516,8
317,242231,84806,8
318,20103,29915,8
319,63437,349409,8
320,139801,50442,8
321,147796,181411,8
322,282588,75111,8
323,23025,198674,8
324,166122,219852,8
325,227430,317780,8
326,233712,182602,8
327,7038,200066,8
328,259228,89893,8
329,72504,218288,8
330,19812,91689,8
331,1146,256875,8
332,146461,105298,8
333,322285,116470,8
334,163181,270351,8
335,18353,76965,8
336,59745,91781,8
337,128699,131418,8
338,42533,162994,8
339,242727,287158,8
340,35945,134024,8
341,32675,141283,8
342,28733,163295,8
343,109961,307696,8
344,263353,252122,8
345,64017,334161,8
346,76297,188824,8
347,255889,107347,9
348,320529,237310,9
349,335300,147409,9
350,49321,225482,9
351,124821,337346,9
352,327233,80702,9
353,86609,30401,9
354,31752,9891,9
355,165813,348753,9
356,124097,306848,9
357,65767,106967,9
358,208544,142773,9
359,120224,42540,9
360,237195,240503,9
361,76709,245548,9
362,275217,331288,9
363,1671,34275,9
364,229996,298545,9
365,228925,297968,9
366,62396,338084,9
