index,s,t,p,e,c
1,810,810,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
2,7143,7143,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
3,10067,10067,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
4,9693,9693,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
5,5998,5998,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
6,11557,11557,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
7,475,475,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
8,6033,6033,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
9,3419,3419,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
10,4491,4491,3,[0.29411765 0.52941176 0.71470588 0.85764706],3
